               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059891,            0.032504,            0.031829,              0.4847,             0.33119,             0.30078,             0.19201,            0.036197,             0.01875,            0.019588,             0.07002,           0.0033311,           0.0033311
                   1,            0.046186,            0.027286,            0.021551,             0.65334,             0.42557,             0.41371,             0.28467,            0.033128,            0.018113,            0.013722,             0.03996,           0.0066045,           0.0066045
                   2,            0.043828,            0.027599,             0.01853,             0.65429,             0.45271,             0.45299,             0.30987,            0.033298,            0.018334,            0.012165,           0.0098398,           0.0098178,           0.0098178
                   3,            0.042629,            0.027528,            0.017329,              0.6645,             0.48587,             0.50926,              0.3633,             0.03118,            0.017626,            0.010868,             0.00973,             0.00973,             0.00973
                   4,             0.04067,            0.026938,            0.016297,             0.67548,             0.51556,             0.54991,             0.40375,            0.029919,            0.016898,           0.0097369,             0.00973,             0.00973,             0.00973
                   5,             0.03945,            0.026467,            0.015648,             0.67442,             0.52178,             0.56754,             0.41909,            0.029213,            0.016666,           0.0092322,             0.00964,             0.00964,             0.00964
                   6,            0.038824,            0.026122,            0.015133,             0.64838,             0.56742,             0.58814,             0.44266,            0.028426,            0.016331,            0.008831,             0.00955,             0.00955,             0.00955
                   7,            0.038206,            0.025892,            0.014779,             0.60562,             0.57733,             0.60901,             0.46011,             0.02785,            0.016039,           0.0084251,             0.00946,             0.00946,             0.00946
                   8,              0.0377,            0.025487,            0.014481,             0.68727,             0.58129,             0.61628,             0.47014,            0.027423,            0.015822,           0.0082328,             0.00937,             0.00937,             0.00937
                   9,            0.037473,             0.02518,            0.014241,             0.68798,             0.59172,             0.62819,             0.48388,               0.027,            0.015672,           0.0080263,             0.00928,             0.00928,             0.00928
                  10,             0.03688,            0.025131,            0.013949,             0.69418,             0.59879,             0.63905,             0.49385,             0.02659,            0.015449,           0.0078091,             0.00919,             0.00919,             0.00919
                  11,            0.036672,             0.02498,            0.013884,             0.65542,              0.6005,             0.64718,             0.50179,            0.026345,            0.015299,           0.0076341,              0.0091,              0.0091,              0.0091
                  12,            0.036516,            0.024816,            0.013716,             0.67764,             0.61052,              0.6461,             0.50472,            0.026013,            0.015223,           0.0075094,             0.00901,             0.00901,             0.00901
                  13,            0.036308,            0.024792,            0.013554,              0.6923,             0.61526,             0.65981,             0.51785,            0.025757,            0.015033,            0.007397,             0.00892,             0.00892,             0.00892
                  14,            0.036052,            0.024476,            0.013424,              0.7017,             0.62253,              0.6645,             0.52371,            0.025552,            0.014919,           0.0072168,             0.00883,             0.00883,             0.00883
                  15,            0.035933,            0.024477,            0.013283,             0.71147,             0.61889,             0.67094,             0.53168,            0.025261,            0.014838,           0.0070931,             0.00874,             0.00874,             0.00874
                  16,            0.035881,            0.024421,            0.013212,             0.67765,             0.63967,             0.67586,             0.53744,             0.02503,            0.014765,           0.0070179,             0.00865,             0.00865,             0.00865
                  17,            0.035601,             0.02446,            0.013103,             0.69048,             0.63785,             0.67833,             0.54086,            0.024862,            0.014723,           0.0069146,             0.00856,             0.00856,             0.00856
                  18,            0.035511,            0.024397,            0.013077,             0.69227,             0.64307,             0.68368,             0.54635,            0.024779,            0.014624,           0.0068429,             0.00847,             0.00847,             0.00847
                  19,             0.03536,            0.024302,            0.012958,             0.68334,             0.64713,             0.68719,             0.55025,            0.024631,            0.014544,           0.0067688,             0.00838,             0.00838,             0.00838
                  20,            0.035145,            0.023947,            0.012776,             0.69841,             0.64307,             0.69086,             0.55476,            0.024491,            0.014475,           0.0067461,             0.00829,             0.00829,             0.00829
                  21,            0.034986,            0.024074,            0.012764,             0.70325,             0.64383,             0.69327,             0.55748,            0.024384,            0.014459,           0.0066988,              0.0082,              0.0082,              0.0082
                  22,            0.035004,            0.023987,             0.01273,             0.70731,              0.6508,             0.69644,             0.56118,            0.024251,            0.014365,           0.0066246,             0.00811,             0.00811,             0.00811
                  23,            0.035028,            0.023951,            0.012649,             0.70752,             0.64972,              0.6979,             0.56323,            0.024171,            0.014321,           0.0065885,             0.00802,             0.00802,             0.00802
                  24,            0.034748,            0.023749,            0.012549,             0.70616,             0.65312,             0.70174,             0.56707,            0.024046,             0.01429,           0.0065362,             0.00793,             0.00793,             0.00793
                  25,            0.034722,            0.023969,            0.012512,             0.70829,             0.65172,             0.70295,             0.56852,            0.023971,            0.014263,            0.006492,             0.00784,             0.00784,             0.00784
                  26,            0.034523,            0.023734,            0.012408,             0.70708,             0.65524,             0.70483,              0.5707,            0.023888,            0.014227,           0.0064414,             0.00775,             0.00775,             0.00775
                  27,            0.034521,             0.02372,            0.012354,             0.70917,             0.65743,             0.70672,             0.57289,             0.02381,            0.014184,           0.0064044,             0.00766,             0.00766,             0.00766
                  28,            0.034428,            0.023651,            0.012331,             0.71846,             0.65459,             0.70805,             0.57442,            0.023757,            0.014157,           0.0063724,             0.00757,             0.00757,             0.00757
                  29,            0.034314,            0.023687,            0.012234,             0.71682,             0.65735,             0.70889,             0.57548,            0.023716,            0.014135,           0.0063475,             0.00748,             0.00748,             0.00748
                  30,            0.034151,            0.023597,            0.012206,             0.71736,             0.66004,              0.7107,             0.57774,            0.023669,             0.01411,           0.0063202,             0.00739,             0.00739,             0.00739
                  31,            0.034185,            0.023396,            0.012149,              0.7191,                0.66,             0.71201,             0.57902,            0.023629,            0.014086,           0.0063009,              0.0073,              0.0073,              0.0073
                  32,            0.034088,            0.023378,            0.012086,             0.71808,             0.66204,             0.71314,             0.58059,            0.023595,            0.014068,           0.0062838,             0.00721,             0.00721,             0.00721
                  33,            0.034051,            0.023462,            0.012064,             0.72376,             0.66043,             0.71425,             0.58131,            0.023552,            0.014046,           0.0062674,             0.00712,             0.00712,             0.00712
                  34,             0.03394,            0.023354,            0.012088,             0.72418,              0.6615,             0.71513,             0.58218,             0.02352,            0.014031,           0.0062523,             0.00703,             0.00703,             0.00703
                  35,            0.033756,            0.023203,            0.011904,             0.72051,             0.66418,             0.71567,             0.58334,            0.023485,            0.014017,           0.0062414,             0.00694,             0.00694,             0.00694
                  36,            0.033734,            0.023228,            0.011871,             0.72678,             0.66156,             0.71657,             0.58417,            0.023454,            0.014005,           0.0062295,             0.00685,             0.00685,             0.00685
                  37,            0.033696,            0.023029,            0.011851,             0.72861,             0.66133,             0.71711,             0.58478,            0.023428,            0.013992,           0.0062175,             0.00676,             0.00676,             0.00676
                  38,            0.033578,            0.023085,            0.011805,             0.72077,             0.66823,             0.71782,             0.58541,            0.023402,            0.013982,           0.0062041,             0.00667,             0.00667,             0.00667
                  39,            0.033591,            0.023075,             0.01182,             0.72602,             0.66562,             0.71866,             0.58622,            0.023382,            0.013972,            0.006191,             0.00658,             0.00658,             0.00658
                  40,            0.033485,            0.022973,            0.011766,             0.72704,              0.6656,             0.71915,             0.58688,             0.02336,             0.01396,           0.0061777,             0.00649,             0.00649,             0.00649
                  41,            0.033339,            0.022906,            0.011632,             0.73075,             0.66479,             0.71978,             0.58756,            0.023338,            0.013946,           0.0061645,              0.0064,              0.0064,              0.0064
                  42,            0.033288,            0.023002,            0.011613,             0.73334,             0.66262,             0.72016,               0.588,            0.023315,            0.013936,           0.0061524,             0.00631,             0.00631,             0.00631
                  43,            0.033267,            0.022861,            0.011603,             0.73158,             0.66505,             0.72083,             0.58882,            0.023292,            0.013926,           0.0061373,             0.00622,             0.00622,             0.00622
